MNEMONIQUE;LIBELLE;ADRESSE_NDS;ADRESSE_SNMP;LIBELLE_1
Trottoir_Roulant_R;Trottoir Roulant à Relais;3;;Percussion retournement de marche
Trottoir_Roulant_R;Trottoir Roulant à Relais;2;;Température haute moto-réducteur
Trottoir_Roulant_R;Trottoir Roulant à Relais;1;;Pré-alerte
Trottoir_Roulant_R;Trottoir Roulant à Relais;999999;;En entretien
EM_Re;Escalier Mécanique à Relais;1009;;Commande initiale impossible
EM_Re;Escalier Mécanique à Relais;1006;;Bit de signe de vie manquant
EM_Re;Escalier Mécanique à Relais;1005;;Synchronisation horloge impossible
EM_Re;Escalier Mécanique à Relais;1004;;Identifiant checksum incorrect
EM_Re;Escalier Mécanique à Relais;1003;;Identifiant version incorrect
EM_Re;Escalier Mécanique à Relais;1002;;Identifiant équipement incorrect
EM_Re;Escalier Mécanique à Relais;1001;;Identifiant station incorrect
EM_Re;Escalier Mécanique à Relais;1000;;Erreur de communication
EM_Re;Escalier Mécanique à Relais;17;;Défaut levée de frein
EM_Re;Escalier Mécanique à Relais;16;;AAI Défaut 48V Tame
EM_Re;Escalier Mécanique à Relais;15;;AAI Défaut 48V de l¿AEM
EM_Re;Escalier Mécanique à Relais;14;;AAI Défaut 400V PEF
EM_Re;Escalier Mécanique à Relais;13;;AAI Défaut chariot tenseur
EM_Re;Escalier Mécanique à Relais;12;;AAI Défaut rupture chaîne de treuil
EM_Re;Escalier Mécanique à Relais;11;;AAI Défaut survitesse / dévirage
EM_Re;Escalier Mécanique à Relais;10;;AAI Défaut thermique TLD démarrage
EM_Re;Escalier Mécanique à Relais;9;;AAI Défaut mains courantes
EM_Re;Escalier Mécanique à Relais;8;;AAI Défaut plaques palières haute ou basse
EM_Re;Escalier Mécanique à Relais;7;;AAI non discriminée
EM_Re;Escalier Mécanique à Relais;6;;En arrêt AAI
EM_Re;Escalier Mécanique à Relais;5;;En arrêt ASI
EM_Re;Escalier Mécanique à Relais;4;;Niveau de bruit anormal
EM_Re;Escalier Mécanique à Relais;3;;Percussion retournement de marche
EM_Re;Escalier Mécanique à Relais;2;;Température haute moto-réducteur
EM_Re;Escalier Mécanique à Relais;18;;Défaut automate
EM_Re;Escalier Mécanique à Relais;999999;;En entretien
BAES;Bloc Autonome Eclairage Secours;1006;;Bit de signe de vie manquant
BAES;Bloc Autonome Eclairage Secours;1005;;Synchronisation horloge impossible
BAES;Bloc Autonome Eclairage Secours;1004;;Identifiant checksum incorrect
BAES;Bloc Autonome Eclairage Secours;1003;;Identifiant version incorrect
BAES;Bloc Autonome Eclairage Secours;1002;;Identifiant équipement incorrect
BAES;Bloc Autonome Eclairage Secours;1001;;Identifiant station incorrect
BAES;Bloc Autonome Eclairage Secours;1000;;Erreur de communication
BAES;Bloc Autonome Eclairage Secours;7;;Batterie de la centrale HS
BAES;Bloc Autonome Eclairage Secours;6;;Au moins 3 blocs  défaillants
BAES;Bloc Autonome Eclairage Secours;5;;Alarme de synthèse AAI
BAES;Bloc Autonome Eclairage Secours;4;;Au moins 2 blocs défaillants
BAES;Bloc Autonome Eclairage Secours;3;;Alerte
BAES;Bloc Autonome Eclairage Secours;2;;Au moins 1 bloc défaillant
BAES;Bloc Autonome Eclairage Secours;1;;Pré-alerte
BAES;Bloc Autonome Eclairage Secours;999999;;En entretien
AEROA;Aéroéjecteur Autonome;1006;;Bit de signe de vie manquant
AEROA;Aéroéjecteur Autonome;1005;;Synchronisation horloge impossible
AEROA;Aéroéjecteur Autonome;1004;;Identifiant checksum incorrect
AEROA;Aéroéjecteur Autonome;1003;;Identifiant version incorrect
AEROA;Aéroéjecteur Autonome;1002;;Identifiant équipement incorrect
AEROA;Aéroéjecteur Autonome;1001;;Identifiant station incorrect
AEROA;Aéroéjecteur Autonome;1000;;Erreur de communication
AEROA;Aéroéjecteur Autonome;7;;Défaut thermique compresseur
AEROA;Aéroéjecteur Autonome;6;;Défaut thermique moteur compresseur
AEROA;Aéroéjecteur Autonome;5;;Manque tension compresseur
AEROA;Aéroéjecteur Autonome;4;;Manque de pression
AEROA;Aéroéjecteur Autonome;3;;Tirage d'air
AEROA;Aéroéjecteur Autonome;2;;Niveau d'eau
Onduleur;Onduleur;4;;Fréquence insuffisante
Onduleur;Onduleur;3;;Fréquence excessive
Onduleur;Onduleur;2;;Non synchronisme
Onduleur;Onduleur;1;;Alerte
Onduleur;Onduleur;999999;;En entretien
Ascenseur;Ascenseur;1009;;Commande initiale impossible
Ascenseur;Ascenseur;1006;;Bit de signe de vie manquant
Ascenseur;Ascenseur;1005;;Synchronisation horloge impossible
Ascenseur;Ascenseur;1004;;Identifiant checksum incorrect
Ascenseur;Ascenseur;1003;;Identifiant version incorrect
Ascenseur;Ascenseur;1002;;Identifiant équipement incorrect
Ascenseur;Ascenseur;1001;;Identifiant station incorrect
Ascenseur;Ascenseur;1000;;Erreur de communication
Ascenseur;Ascenseur;37;;Défaut température > 40° dans le local machine
Ascenseur;Ascenseur;36;;Défaut non levée de frein
Ascenseur;Ascenseur;35;;Défaut non retombée des contacteurs
Ascenseur;Ascenseur;34;;Défaut temps de déplacement trop long
Ascenseur;Ascenseur;33;;Défaut temps d' ouverture portes trop long
Ascenseur;Ascenseur;32;;Défaut temps de fermeture portes trop long
Ascenseur;Ascenseur;31;;Défaut temps de freinage trop long
Ascenseur;Ascenseur;30;;Défaut contrôle de ralentissement
Ascenseur;Ascenseur;29;;Défaut sélecteur (bistable, capteurs en gaine¿)
Ascenseur;Ascenseur;28;;Défaut alimentation chaîne de sécurité
Ascenseur;Ascenseur;27;;Défaut 3 faux départ
Ascenseur;Ascenseur;26;;Défaut bouton STOP enfoncé
Ascenseur;Ascenseur;25;;Défaut: Personne bloquée en cabine
Ascenseur;Ascenseur;24;;Défaut: d'alimentation CAP
Ascenseur;Ascenseur;23;;Défaut: d'alimentation CAF
Ascenseur;Ascenseur;22;;Défaut: poulie tendeuse
Ascenseur;Ascenseur;21;;Défaut: Contacts fins de course / amortisseurs
Ascenseur;Ascenseur;20;;Défaut: Contacts parachute
Ascenseur;Ascenseur;19;;Défaut: Survitesse
Ascenseur;Ascenseur;18;;Défaut: Trappe, porte intercommun. ou porte secours
Ascenseur;Ascenseur;17;;Défaut: Contacts porte cabine
Ascenseur;Ascenseur;16;;Défaut: Contacts portes palières
Ascenseur;Ascenseur;15;;Défaut: Température moteur
Ascenseur;Ascenseur;14;;Défaut: Thermique moteur
Ascenseur;Ascenseur;13;;Défaut: Man¿uvre de secours
Ascenseur;Ascenseur;12;;AAI non discriminée
Ascenseur;Ascenseur;11;;En arrêt AAI
Ascenseur;Ascenseur;10;;ASI retour d'alimentation (380 ou 48V)
Ascenseur;Ascenseur;9;;ASI forçage de porte
Ascenseur;Ascenseur;8;;ASI non discriminée
Ascenseur;Ascenseur;7;;En arrêt ASI
Ascenseur;Ascenseur;6;;Coupure 48V ABN
Ascenseur;Ascenseur;5;;Coupure alimentation permanent
Ascenseur;Ascenseur;4;;Coupure alimentation normale PEF
Ascenseur;Ascenseur;3;;Panne de communication entre API et coffret d'aquisition
Ascenseur;Ascenseur;2;;Présence d'eau en cuvette
Ascenseur;Ascenseur;1;;Pré-alerte
Ascenseur;Ascenseur;999999;;En entretien
Grille;Grille Motorisée;1008;;Réglage horaire fermeture impossible
Grille;Grille Motorisée;1007;;Réglage horaire ouverture impossible
Grille;Grille Motorisée;1006;;Bit de signe de vie manquant
Grille;Grille Motorisée;1005;;Synchronisation horloge impossible
Grille;Grille Motorisée;1004;;Identifiant checksum incorrect
Grille;Grille Motorisée;1003;;Identifiant version incorrect
Grille;Grille Motorisée;1002;;Identifiant équipement incorrect
Grille;Grille Motorisée;1001;;Identifiant station incorrect
Grille;Grille Motorisée;1000;;Erreur de communication
Grille;Grille Motorisée;13;;Défaut chaîne de sécurité
Grille;Grille Motorisée;12;;Défaut sécurité effort
Grille;Grille Motorisée;11;;Défaut relais de phase
Grille;Grille Motorisée;10;;Défaut temps de cycle trop long
Trottoir_Roulant;Trottoir Roulant;44;;AAI rupture chaîne de treuil
Trottoir_Roulant;Trottoir Roulant;43;;AAI non retombée contacteur
Trottoir_Roulant;Trottoir Roulant;42;;AAI déclenchement relais sécurité
Trottoir_Roulant;Trottoir Roulant;41;;AAI défaut relais de phase ou 400V
Trottoir_Roulant;Trottoir Roulant;40;;AAI Défaut TBTS  de l¿AEM (48 àu 24v)
Trottoir_Roulant;Trottoir Roulant;39;;AAI défaut relais vitesse RV sur test
Trottoir_Roulant;Trottoir Roulant;38;;AAI défaut détecteur de vitesse
Trottoir_Roulant;Trottoir Roulant;37;;AAI survitesse
Trottoir_Roulant;Trottoir Roulant;36;;AAI inversion sens de marche(sous vitesse)
Trottoir_Roulant;Trottoir Roulant;35;;AAI non discriminée
Trottoir_Roulant;Trottoir Roulant;34;;En arrêt AAI
Trottoir_Roulant;Trottoir Roulant;33;;AAI-RD défaut démarrage TLD
Trottoir_Roulant;Trottoir Roulant;32;;AAI-RD bouton poussoir d'arrêt
Trottoir_Roulant;Trottoir Roulant;31;;AAI-RD variateur
Trottoir_Roulant;Trottoir Roulant;30;;AAI-RD pompe à huile
Trottoir_Roulant;Trottoir Roulant;29;;AAI-RD connecteur prise d'inspection
Trottoir_Roulant;Trottoir Roulant;28;;AAI-RD défaut thermique frein de secours
Trottoir_Roulant;Trottoir Roulant;27;;AAI-RD défaut thermique frein de fonctionnement
Trottoir_Roulant;Trottoir Roulant;26;;AAI-RD défaut thermique moteur
Trottoir_Roulant;Trottoir Roulant;25;;AAI-RD non retombée frein de fonctionnement
Trottoir_Roulant;Trottoir Roulant;24;;AAI-RD non retombée frein additionnel
Trottoir_Roulant;Trottoir Roulant;23;;En arrêt AAI réarmable à distance par PCM
Trottoir_Roulant;Trottoir Roulant;22;;ASI Fin asservissement
Trottoir_Roulant;Trottoir Roulant;12;;ASI arrêt d'urgence voyageur
Trottoir_Roulant;Trottoir Roulant;11;;ASI non discriminée
Trottoir_Roulant;Trottoir Roulant;10;;En arrêt ASI
Trottoir_Roulant;Trottoir Roulant;9;;Défaut détection voyageur
Trottoir_Roulant;Trottoir Roulant;8;;Détection de fumée en machinerie
Trottoir_Roulant;Trottoir Roulant;7;;Panne détection incendie
Trottoir_Roulant;Trottoir Roulant;6;;Usure des freins
Trottoir_Roulant;Trottoir Roulant;5;;Niveau d'huile
Trottoir_Roulant;Trottoir Roulant;4;;Niveau de bruit anormal
Trottoir_Roulant;Trottoir Roulant;3;;Percussion retournement de marche
Trottoir_Roulant;Trottoir Roulant;2;;Température haute moto-réducteur
Trottoir_Roulant;Trottoir Roulant;1;;Pré-alerte
Trottoir_Roulant;Trottoir Roulant;999999;;En entretien
EM;Escalier Mécanique;1009;;Commande initiale impossible
EM;Escalier Mécanique;1006;;Bit de signe de vie manquant
EM;Escalier Mécanique;1005;;Synchronisation horloge impossible
EM;Escalier Mécanique;1004;;Identifiant checksum incorrect
EM;Escalier Mécanique;1003;;Identifiant version incorrect
EM;Escalier Mécanique;1002;;Identifiant équipement incorrect
EM;Escalier Mécanique;1001;;Identifiant station incorrect
EM;Escalier Mécanique;1000;1000;Erreur de communication
EM;Escalier Mécanique;67;;Panne d'épuisement
EM;Escalier Mécanique;65;;AAI entrée main courante inférieure bloquée
EM;Escalier Mécanique;64;;AAI entrée main courante supérieure bloquée
EM;Escalier Mécanique;63;;AAI Défaut armoire automatisme
EM;Escalier Mécanique;62;;AAI Défaut automate
EM;Escalier Mécanique;61;;AAI non levée frein de fonctionnement
EM;Escalier Mécanique;60;;AAI non levée frein secours
EM;Escalier Mécanique;59;;AAI déjantement main courante Gauche
EM;Escalier Mécanique;58;;AAI déjantement main courante Droite
EM;Escalier Mécanique;57;;AAI entrainement main courante Gauche
EM;Escalier Mécanique;56;;AAI entrainement main courante Droite
EM;Escalier Mécanique;55;;AAI rupture main courante Gauche
EM;Escalier Mécanique;54;;AAI rupture main courante Droite
EM;Escalier Mécanique;53;;AAI absence marche basse
EM;Escalier Mécanique;52;;AAI absence marche haute
EM;Escalier Mécanique;51;;AAI affaissement marche supérieure
EM;Escalier Mécanique;50;;AAI affaissement marche inférieure
EM;Escalier Mécanique;49;;AAI plaque palière inférieure
Onduleur;Onduleur;53;;batterie: Batterie en floating
Onduleur;Onduleur;52;;batterie: Batterie en charge
Onduleur;Onduleur;51;;batterie: Chargeur batterie bloqué
Onduleur;Onduleur;50;;batterie: Batterie déchargée
Onduleur;Onduleur;49;;batterie: Batterie presque déchargée
Onduleur;Onduleur;48;;batterie: Défaut batterie
Onduleur;Onduleur;47;;batterie: Défaut thyristor batterie
Onduleur;Onduleur;46;;batterie: Défaut capteur température
Onduleur;Onduleur;45;;batterie: Température hors limites
Onduleur;Onduleur;44;;batterie: Température batterie élevée
Onduleur;Onduleur;43;;batterie: Coupure imminente
Onduleur;Onduleur;42;;batterie: Batterie en décharge
Onduleur;Onduleur;41;;batterie: Chargeur batterie inhibé
Onduleur;Onduleur;40;;batterie: Batterie déconnectée
Onduleur;Onduleur;39;;batterie: DJ batterie ouvert
Onduleur;Onduleur;38;;batterie: Arrêt d'urgence activé
Onduleur;Onduleur;37;;sortie: Surcharge
Onduleur;Onduleur;36;;sortie: Présence d'une composante continue
Onduleur;Onduleur;35;;sortie: Sortie non alimentée
Onduleur;Onduleur;34;;sortie: DJ sortie ouvert
Onduleur;Onduleur;33;;onduleur: Protection contre les réalimentations activée
Onduleur;Onduleur;32;;onduleur: Fonctionnement en surcharge
Onduleur;Onduleur;31;;onduleur: Protection contre les réalimentations
Onduleur;Onduleur;30;;onduleur: Défaut contacteur statique
Onduleur;Onduleur;29;;onduleur: Température excessive du radiateur
Onduleur;Onduleur;28;;onduleur: Blocage par courant limite
Onduleur;Onduleur;27;;onduleur: Défaut contacteur statique de l'onduleur
Onduleur;Onduleur;26;;onduleur: Fusible fondu
Onduleur;Onduleur;25;;onduleur: Blocage par tension insuffisante
Onduleur;Onduleur;24;;onduleur: Blocage par tension excessive
BAM;Baie d'Aération Motorisée;5;;Défaut 48V
Onduleur;Onduleur;23;;onduleur: Défaut onduleur
Onduleur;Onduleur;22;;onduleur: Commutateur de by-pass fermé
Onduleur;Onduleur;21;;onduleur: Inhibition surtempérature
Onduleur;Onduleur;20;;onduleur: Inhibition surcharge
Onduleur;Onduleur;19;;onduleur: Tension continue insuffisante
Onduleur;Onduleur;18;;onduleur: Tension continue excessive
Onduleur;Onduleur;17;;onduleur: Arrêt d'urgence activé
Onduleur;Onduleur;16;;redresseur: Panne secteur
Onduleur;Onduleur;15;;redresseur: Alimentation par la batterie
Onduleur;Onduleur;14;;redresseur: Défaut de suralimentation
Onduleur;Onduleur;13;;redresseur: Avarie thyristor batterie
Onduleur;Onduleur;12;;redresseur: Défaut redresseur
Onduleur;Onduleur;11;;redresseur: Déséquilibre de suralimentation
Onduleur;Onduleur;10;;redresseur: Tension de suralimentation insuffisante
Onduleur;Onduleur;9;;redresseur: Température excessive
Onduleur;Onduleur;8;;redresseur: Arrêt d'urgence activé
Onduleur;Onduleur;7;;redresseur: DJ secteur ouvert
Onduleur;Onduleur;6;;En alarme (AAI)
Onduleur;Onduleur;5;;Défaut de mesure
Trottoir_Roulant_R;Trottoir Roulant à Relais;1006;;Bit de signe de vie manquant
Trottoir_Roulant_R;Trottoir Roulant à Relais;1005;;Synchronisation horloge impossible
Trottoir_Roulant_R;Trottoir Roulant à Relais;1004;;Identifiant checksum incorrect
Trottoir_Roulant_R;Trottoir Roulant à Relais;1003;;Identifiant version incorrect
Trottoir_Roulant;Trottoir Roulant;52;;AAI absence marche haute
SIV;Serveur d'Information Voyageur;;.1.3.6.1.2.1.2.2.1.9.1;Absence logiciel application
Trottoir_Roulant;Trottoir Roulant;1006;;Bit de signe de vie manquant
Trottoir_Roulant;Trottoir Roulant;1005;;Synchronisation horloge impossible
Trottoir_Roulant;Trottoir Roulant;1004;;Identifiant checksum incorrect
Trottoir_Roulant;Trottoir Roulant;1003;;Identifiant version incorrect
Trottoir_Roulant;Trottoir Roulant;1002;;Identifiant équipement incorrect
Trottoir_Roulant;Trottoir Roulant;1001;;Identifiant station incorrect
PEP;Poste d'Epuisement;3;;Baisse débit groupe 1
PEP;Poste d'Epuisement;2;;Apport d'eau élevé (> 0,4 x débit nominal groupe)
PEP;Poste d'Epuisement;1;;Pré-alerte
PEP;Poste d'Epuisement;999999;;En entretien
PEP;Poste d'Epuisement;20;;BAE (Bouton Arrêt Entretien) > 5 heures
PEP;Poste d'Epuisement;19;;Alarme Haute
PEP;Poste d'Epuisement;18;;Vanne d'arrivée fermée
PEP;Poste d'Epuisement;17;;AAI non discriminée
PEP;Poste d'Epuisement;16;;Alarme  AAI
PEP;Poste d'Epuisement;15;;Défaut hydraulique groupe 4
PEP;Poste d'Epuisement;14;;Défaut hydraulique groupe 3
PEP;Poste d'Epuisement;13;;Défaut hydraulique groupe 2
PEP;Poste d'Epuisement;12;;Défaut hydraulique groupe 1
EM;Escalier Mécanique;46;;AAI capot bout d'arbre
EM;Escalier Mécanique;45;;AAI chariot tenseur
EM;Escalier Mécanique;44;;AAI rupture chaîne de treuil
EM;Escalier Mécanique;43;;AAI non retombée contacteur
EM;Escalier Mécanique;42;;AAI déclenchement relais sécurité
EM;Escalier Mécanique;41;;AAI défaut relais de phase ou 400V
EM;Escalier Mécanique;40;;AAI Défaut TBTS  de l¿AEM (48 àu 24v)
EM;Escalier Mécanique;39;;AAI défaut relais vitesse RV sur test
EM;Escalier Mécanique;38;;AAI défaut détecteur de vitesse
EM;Escalier Mécanique;37;;AAI survitesse
EM;Escalier Mécanique;36;;AAI inversion sens de marche(sous vitesse)
EM;Escalier Mécanique;35;;AAI non discriminée
EM;Escalier Mécanique;34;;En arrêt AAI
EM;Escalier Mécanique;33;;AAI-RD défaut démarrage TLD
EM;Escalier Mécanique;32;;AAI-RD bouton poussoir d'arrêt
EM;Escalier Mécanique;31;;AAI-RD variateur
EM;Escalier Mécanique;30;;AAI-RD pompe à huile
EM;Escalier Mécanique;29;;AAI-RD connecteur prise d'inspection
EM;Escalier Mécanique;28;;AAI-RD défaut thermique frein de secours
EM;Escalier Mécanique;27;;AAI-RD défaut thermique frein de fonctionnement
EM;Escalier Mécanique;26;;AAI-RD défaut thermique moteur
EM;Escalier Mécanique;25;;AAI-RD non retombée frein de fonctionnement
EM;Escalier Mécanique;24;;AAI-RD non retombée frein additionnel
EM;Escalier Mécanique;23;;En arrêt AAI réarmable à distance par PCM
EM;Escalier Mécanique;22;;ASI Fin asservissement
EM;Escalier Mécanique;21;;ASI Retour 400V ou manque 48V Tame
EM;Escalier Mécanique;20;;ASI Relais de phase
EM;Escalier Mécanique;19;;ASI variateur
EM;Escalier Mécanique;18;;ASI plaque palière supérieure
EM;Escalier Mécanique;17;;ASI plaque palière inférieure
EM;Escalier Mécanique;16;;ASI entrainement main courante gauche
EM;Escalier Mécanique;15;;ASI entrainement main courante droite
BAM;Baie d'Aération Motorisée;4;;Défaut chaîne de sécurité
BAM;Baie d'Aération Motorisée;3;;AAI non discriminée
BAM;Baie d'Aération Motorisée;2;;Défaut thermique moteur
BAM;Baie d'Aération Motorisée;1;;En panne AAI
BAM;Baie d'Aération Motorisée;999999;;En entretien
Ventilateur;Ventilateur;1006;;Bit de signe de vie manquant
STOSC;Serveur TOSCANE;100;;Perte du process ApplibusPingSymphonie
STOSC;Serveur TOSCANE;101;;Perte du process ApplibusNameServer
STOSC;Serveur TOSCANE;102;;Perte du process ApplibusAccobep
STOSC;Serveur TOSCANE;103;;Perte du process DriverNDSI (interface LibA)
STOSC;Serveur TOSCANE;104;;Perte du process Ilog TCP daemon (accès à Ilog Serveur)
STOSC;Serveur TOSCANE;105;;Perte du process Ilog Serveur (coeur du système TOSCANE)
STOSC;Serveur TOSCANE;106;;Perte du process Client Persistance (accès ORACLE)
STOSC;Serveur TOSCANE;107;;Perte du process DriverSNMP (équipements en mode direct)
STOSC;Serveur TOSCANE;108;;Perte du process DriverNDSRP (interface LibA)
STOSC;Serveur TOSCANE;109;;Perte du process DriverGMAO (interface GMAO)
STOSC;Serveur TOSCANE;110;;Perte du process CalculateurCF (chaînes fonctionnelles)
STOSC;Serveur TOSCANE;111;;Perte du process MoteurAnalyse (Ilog Rules)
STOSC;Serveur TOSCANE;112;;Perte du process DriverSYSTEME (gestion des performances)
STOSC;Serveur TOSCANE;113;;Perte du process DriverSGC (interface SGC)
STOSC;Serveur TOSCANE;114;;Perte du process InterfaceSGC (interface SGC)
STOSC;Serveur TOSCANE;115;;Perte du process ServeurCOMMANDE (gestion accès ADMF)
STOSC;Serveur TOSCANE;116;;Perte du process JONAS (serveur WEB)
HUB;HUB;1000;1000;Erreur de communication
HUB;HUB;;.1.3.6.1.2.1.2.2.1.9.1;Etat fonctionnel
MON;Moniteur de Téléaffichage en mode snmp;1000;1000;Erreur de communication
MON;Moniteur de Téléaffichage en mode snmp;;.1.3.6.1.4.1.1581.1.5.1.601.0.4002;PC portable de maintenance connecté
MON;Moniteur de Téléaffichage en mode snmp;;.1.3.6.1.4.1.1581.1.5.1.601.3.1.0;Défaut retour caractère LCD
MON;Moniteur de Téléaffichage en mode snmp;;.1.3.6.1.2.1.4.18.0;Etat fonctionnel
ADA;Armoire Distribution Automatique;2;;Défaut source normal (RATP)
EM;Escalier Mécanique;2001;;Arrêt exploitation
EM;Escalier Mécanique;2002;;Arrêt maintenance
EM;Escalier Mécanique;2000;;Arrêt
ADA;Armoire Distribution Automatique;3;;Défaut source remplacement (EDF)
ADA;Armoire Distribution Automatique;4;;Absence de tension aval inverseur
ADA;Armoire Distribution Automatique;5;;Durée de maintenance long
ADA;Armoire Distribution Automatique;6;;Défaut automate
ADA;Armoire Distribution Automatique;8;;Défaut départ permanent luminaires BAES vers local SEAT
ADA;Armoire Distribution Automatique;9;;Défaut départ remplacement Luminaires/PC/Clim vers local SEAT
Trottoir_Roulant;Trottoir Roulant;59;;AAI déjantement main courante Gauche
Trottoir_Roulant;Trottoir Roulant;58;;AAI déjantement main courante Droite
Trottoir_Roulant;Trottoir Roulant;57;;AAI entrainement main courante Gauche
Trottoir_Roulant;Trottoir Roulant;56;;AAI entrainement main courante Droite
Trottoir_Roulant;Trottoir Roulant;55;;AAI rupture main courante Gauche
Trottoir_Roulant;Trottoir Roulant;54;;AAI rupture main courante Droite
Trottoir_Roulant;Trottoir Roulant;53;;AAI absence marche basse
Ventilateur;Ventilateur;1005;;Synchronisation horloge impossible
Ventilateur;Ventilateur;1004;;Identifiant checksum incorrect
Ventilateur;Ventilateur;1003;;Identifiant version incorrect
Ventilateur;Ventilateur;1002;;Identifiant équipement incorrect
Ventilateur;Ventilateur;1001;;Identifiant station incorrect
Ventilateur;Ventilateur;1000;;Erreur de communication
Ventilateur;Ventilateur;18;;Panne d'épuisement (de l'ouvrage de ventilation)
Ventilateur;Ventilateur;17;;Arrêt d'urgence
Ventilateur;Ventilateur;16;;Défaut BAE > 5 heures
Ventilateur;Ventilateur;15;;Défaut rideau coupe-vent
Ventilateur;Ventilateur;14;;Défaut frein
Ventilateur;Ventilateur;13;;Discordance BAE / CDAL
Ventilateur;Ventilateur;12;;Défaut absence tension 48 Volts Armoire
Ventilateur;Ventilateur;11;;Défaut absence tension 400 Volts NORMAL
Ventilateur;Ventilateur;10;;Panne non discriminée
Ventilateur;Ventilateur;9;;Défaut thermique moteur (RD)
Ventilateur;Ventilateur;8;;Défaut variateur ou thermique démarreur (RD)
Ventilateur;Ventilateur;6;;Absence 400V REMPLACEMENT
Ventilateur;Ventilateur;5;;Niveau de bruit élévé en baie (>60 db)
Ventilateur;Ventilateur;4;;Intensité insuffisante en insuflation
Ventilateur;Ventilateur;3;;Intensité insuffisante en extraction
Ventilateur;Ventilateur;2;;Défaut vibration
Ventilateur;Ventilateur;999999;;En entretien
PEP;Poste d'Epuisement;1006;;Bit de signe de vie manquant
PEP;Poste d'Epuisement;1005;;Synchronisation horloge impossible
PEP;Poste d'Epuisement;1004;;Identifiant checksum incorrect
PEP;Poste d'Epuisement;1003;;Identifiant version incorrect
PEP;Poste d'Epuisement;1002;;Identifiant équipement incorrect
PEP;Poste d'Epuisement;1001;;Identifiant station incorrect
PEP;Poste d'Epuisement;1000;;Erreur de communication
PEP;Poste d'Epuisement;31;;Défaut variateur groupe 4
PEP;Poste d'Epuisement;30;;Défaut thermique groupe 4
PEP;Poste d'Epuisement;29;;Défaut variateur groupe 3
Grille;Grille Motorisée;9;;Man¿uvre de secours
Grille;Grille Motorisée;8;;Défaut ipsotherme
Grille;Grille Motorisée;7;;Défaut niveau d'huile
Grille;Grille Motorisée;6;;En entretien > 5h
Grille;Grille Motorisée;5;;Contact de surpassement
Grille;Grille Motorisée;4;;Défaut thermique moteur
Grille;Grille Motorisée;3;;Défaut barre sensible
Grille;Grille Motorisée;2;;Défaut volets de sécurité
Grille;Grille Motorisée;1;;En panne AAI
Grille;Grille Motorisée;999999;;En entretien
Compresseur;Compresseur;1006;;Bit de signe de vie manquant
Compresseur;Compresseur;1005;;Synchronisation horloge impossible
Compresseur;Compresseur;1004;;Identifiant checksum incorrect
Compresseur;Compresseur;1003;;Identifiant version incorrect
Compresseur;Compresseur;1002;;Identifiant équipement incorrect
Compresseur;Compresseur;1001;;Identifiant station incorrect
Compresseur;Compresseur;1000;;Erreur de communication
Compresseur;Compresseur;16;;Défaut sécheur 2
Compresseur;Compresseur;15;;Défaut sécheur 1
Compresseur;Compresseur;14;;Absence tension compresseur 2 (400V)
Compresseur;Compresseur;13;;Absence tension compresseur 1 (400V)
Compresseur;Compresseur;12;;BAE>5 heures
Compresseur;Compresseur;11;;Défaut compresseur 2
Compresseur;Compresseur;10;;Défaut compresseur 1
Compresseur;Compresseur;9;;Défaut de pression basse < 4 Bars
Compresseur;Compresseur;8;;AAI non discriminée
Compresseur;Compresseur;7;;En arrêt AAI
Compresseur;Compresseur;6;;Temps de compression groupe 2 trop long
Compresseur;Compresseur;5;;Temps de compression groupe 1 trop long
Compresseur;Compresseur;4;;Défaut fuite réseau
Compresseur;Compresseur;3;;Alerte
Compresseur;Compresseur;2;;Température de groupe anormale
Compresseur;Compresseur;999999;;En entretien
BAM;Baie d'Aération Motorisée;1006;;Bit de signe de vie manquant
BAM;Baie d'Aération Motorisée;1005;;Synchronisation horloge impossible
BAM;Baie d'Aération Motorisée;1004;;Identifiant checksum incorrect
BAM;Baie d'Aération Motorisée;1003;;Identifiant version incorrect
BAM;Baie d'Aération Motorisée;1002;;Identifiant équipement incorrect
BAM;Baie d'Aération Motorisée;1001;;Identifiant station incorrect
BAM;Baie d'Aération Motorisée;1000;;Erreur de communication
BAM;Baie d'Aération Motorisée;6;;Défaut BAE>5h
Trottoir_Roulant;Trottoir Roulant;51;;AAI affaissement marche supérieure
Trottoir_Roulant;Trottoir Roulant;50;;AAI affaissement marche inférieure
Trottoir_Roulant;Trottoir Roulant;49;;AAI plaque palière inférieure
Trottoir_Roulant;Trottoir Roulant;48;;AAI plaque palière supérieure
Trottoir_Roulant;Trottoir Roulant;47;;AAI trappe
Trottoir_Roulant;Trottoir Roulant;46;;AAI capot bout d'arbre
Trottoir_Roulant;Trottoir Roulant;21;;ASI Retour 400V ou manque 48V Tame
Trottoir_Roulant;Trottoir Roulant;20;;ASI Relais de phase
Trottoir_Roulant;Trottoir Roulant;19;;ASI variateur
Trottoir_Roulant;Trottoir Roulant;18;;ASI plaque palière supérieure
Trottoir_Roulant;Trottoir Roulant;17;;ASI plaque palière inférieure
Trottoir_Roulant;Trottoir Roulant;16;;ASI entrainement main courante gauche
Trottoir_Roulant;Trottoir Roulant;15;;ASI entrainement main courante droite
Trottoir_Roulant;Trottoir Roulant;14;;ASI entrée main courante gauche
